Well1_Depth,Well1_RHOB,Well2_Depth,Well2_RHOB,Well3_Depth,Well3_RHOB
3005.9376,2.0826,3141.8784,2.3362,2950.9212,2.3575
3006.09,2.0853,3142.0308,2.3092,2951.0736,2.2922
3006.2424,2.073,3142.1832,2.2905,2951.226,2.2475
3006.3948,2.0554,3142.3356,2.2753,2951.3784,2.2002
3006.5472,2.036,3142.488,2.2718,2951.5308,2.0123
3006.6996,2.0231,3142.6404,2.2751,2951.6832,1.7956
3006.852,2.017,3142.7928,2.2792,2951.8356,1.7562
3007.0044,2.0329,3142.9452,2.2846,2951.988,1.8331
3007.1568,2.0445,3143.0976,2.2937,2952.1404,1.9661
3007.3092,2.0516,3143.25,2.3,2952.2928,2.0138
3007.4616,2.031,3143.4024,2.2989,2952.4452,2.0066
3007.614,2.0178,3143.5548,2.2944,2952.5976,1.9479
3007.7664,2.0486,3143.7072,2.2929,2952.75,1.8525
3007.9188,2.0951,3143.8596,2.2994,2952.9024,1.8139
3008.0712,2.1296,3144.012,2.3061,2953.0548,1.8774
3008.2236,2.1443,3144.1644,2.3122,2953.2072,1.9156
3008.376,2.1162,3144.3168,2.3182,2953.3596,1.8534
3008.5284,2.091,3144.4692,2.3155,2953.512,1.7718
3008.6808,2.0734,3144.6216,2.3037,2953.6644,1.7864
3008.8332,2.0647,3144.774,2.2949,2953.8168,1.8636
3008.9856,2.0538,3144.9264,2.2989,2953.9692,2.0528
3009.138,2.0391,3145.0788,2.3075,2954.1216,2.1128
3009.2904,2.0173,3145.2312,2.3122,2954.274,2.1425
3009.4428,1.9915,3145.3836,2.3122,2954.4264,2.1127
3009.5952,1.9734,3145.536,2.3116,2954.5788,2.0636
3009.7476,1.969,3145.6884,2.315,2954.7312,2.0311
3009.9,1.9877,3145.8408,2.3237,2954.8836,2.054
3010.0524,1.9937,3145.9932,2.3352,2955.036,2.0906
3010.2048,1.9712,3146.1456,2.3376,2955.1884,2.0937
3010.3572,1.9645,3146.298,2.331,2955.3408,2.056
3010.5096,2.0544,3146.4504,2.3234,2955.4932,1.9842
3010.662,2.0687,3146.6028,2.3238,2955.6456,1.9594
3010.8144,1.975,3146.7552,2.3294,2955.798,1.9625
3010.9668,1.898,3146.9076,2.3336,2955.9504,1.9626
3011.1192,1.8781,3147.06,2.3326,2956.1028,1.9501
3011.2716,1.897,3147.2124,2.3266,2956.2552,1.9497
3011.424,1.9123,3147.3648,2.3194,2956.4076,1.9047
3011.5764,1.9187,3147.5172,2.3147,2956.56,1.9397
3011.7288,1.9274,3147.6696,2.3149,2956.7124,1.9997
3011.8812,1.9407,3147.822,2.3173,2956.8648,2.0415
