f,2dsth,2dstp,2dsts,3dst,WT
121,0.160240323,1.031710926,0.26822934,0.227157332,0.846089349
121.5,0.155834043,1.007468925,0.27976097,0.262040163,0.85003572
122,0.151427763,0.983226924,0.291292601,0.296922994,0.85398209
122.5,0.147021483,0.958984922,0.302824231,0.331805825,0.857928461
123,0.142615203,0.934742921,0.314355862,0.366688656,0.861874832
123.5,0.138208923,0.929094537,0.3208732,0.401571487,0.865821203
124,0.133802643,0.97374478,0.3138261,0.436454318,0.869767574
124.5,0.129396362,1.018395024,0.306778999,0.471337149,0.873713944
125,0.124990082,1.063045267,0.299731898,0.50621998,0.877660315
125.5,0.127588486,1.107695511,0.292684797,0.541102811,0.881606686
126,0.133150274,1.152345755,0.285637697,0.547645116,0.885553057
126.5,0.138712063,1.196995998,0.278590596,0.527349427,0.889499427
127,0.144273851,1.241646242,0.271543495,0.507053738,0.893445798
127.5,0.14983564,1.286296485,0.264496394,0.486758049,0.897392169
128,0.155397428,1.330946729,0.257449293,0.46646236,0.90133854
128.5,0.160959217,1.375596972,0.250402193,0.446166671,0.905284911
129,0.166521006,1.420247216,0.255146395,0.425870982,0.909231281
129.5,0.172082794,1.421985952,0.268845912,0.405575293,0.913177652
130,0.177644583,1.353488216,0.282545429,0.385279604,0.917124023
130.5,0.183206371,1.28499048,0.296244946,0.364983915,0.921070394
131,0.18876816,1.216492744,0.309944462,0.344688226,0.925016764
131.5,0.194329948,1.147995008,0.323643979,0.324392537,0.928963135
132,0.199891737,1.079497272,0.337343496,0.304096848,0.932909506
132.5,0.205453525,1.010999535,0.351043013,0.301417208,0.936855877
133,0.211015314,0.942501799,0.36474253,0.321712973,0.940802248
133.5,0.216577102,0.874004063,0.378442047,0.342008738,0.944748618
134,0.222138891,0.805506327,0.392141564,0.362304503,0.948694989
134.5,0.22770068,0.737008591,0.405841081,0.382600268,0.95264136
135,0.233262468,0.668510855,0.404917447,0.402896033,0.956587731
135.5,0.238824257,0.600013118,0.397039512,0.405627145,0.960534101
136,0.244386045,0.531515382,0.389161577,0.389982587,0.964480472
136.5,0.249947834,0.474692168,0.381283643,0.37433803,0.968426843
137,0.255509622,0.511824033,0.373405708,0.358693472,0.972373214
137.5,0.261071411,0.548955899,0.365527773,0.343048915,0.976319585
138,0.266633199,0.586087764,0.357649839,0.327404357,0.980265955
138.5,0.272194988,0.62321963,0.349771904,0.3117598,0.984212326
139,0.277756777,0.660351495,0.341893969,0.316106733,0.988158697
139.5,0.283318565,0.697483361,0.334016035,0.356879026,0.992105068
140,0.288880354,0.734615227,0.3261381,0.397651319,0.996051438
140.5,0.294442142,0.771747092,0.318260165,0.438423612,0.999997809
141,0.291742767,0.808878958,0.310382231,0.479195905,1.00394418
141.5,0.286809807,0.846010823,0.302504296,0.519968197,1.007890551
142,0.281876846,0.883142689,0.294626362,0.56074049,1.011836922
142.5,0.276943886,0.920274554,0.286748427,0.601512783,1.015783292
143,0.272010926,0.95460046,0.278870492,0.642285076,1.019708515
143.5,0.267077966,0.900901624,0.270992558,0.683057369,1.022970315
144,0.262145005,0.847202788,0.263114623,0.723829662,1.026232115
144.5,0.257212045,0.793503952,0.255236688,0.764601954,1.029493915
145,0.252279085,0.739805115,0.247358754,0.805374247,1.032755714
145.5,0.247346125,0.686106279,0.239480819,0.84614654,1.036017514
146,0.242413164,0.632407443,0.231951596,0.886918833,1.039279314
146.5,0.237480204,0.578708607,0.228146195,0.927691126,1.042541114
147,0.232547244,0.525009771,0.224340794,0.968463418,1.045802914
147.5,0.227614284,0.471310935,0.220535393,0.96193197,1.049064714
148,0.222681323,0.417612099,0.216729993,0.935837367,1.052326513
148.5,0.217748363,0.363913263,0.212924592,0.909742764,1.055588313
149,0.212815403,0.310214427,0.209119191,0.883648161,1.058850113
149.5,0.207882443,0.256515591,0.20531379,0.857553558,1.062111913
150,0.202949482,0.202816755,0.201508389,0.831458955,1.065373713
150.5,0.198016522,0.255489168,0.197702989,0.805364353,1.068635512
151,0.193083562,0.341355074,0.205164871,0.77926975,1.071897312
151.5,0.196522058,0.42722098,0.221020829,0.77618942,1.075159112
152,0.21338527,0.513086886,0.236876786,0.810015463,1.078420912
152.5,0.230248482,0.598952792,0.252732744,0.843841505,1.081682712
153,0.247111694,0.684818697,0.268588701,0.877667548,1.084944511
153.5,0.263974906,0.770684603,0.284444659,0.91149359,1.088206311
154,0.280838118,0.856550509,0.300300616,0.945319633,1.091468111
154.5,0.29770133,0.942416415,0.316156573,0.979145675,1.094729911
155,0.314564542,1.028282321,0.332012531,1.012971718,1.097991711
155.5,0.331427754,1.114148226,0.347868488,1.04679776,1.101253511
156,0.348290967,1.200014132,0.363724446,1.080623803,1.10451531
156.5,0.365154179,1.285880038,0.379580403,1.114449846,1.10777711
157,0.382017391,1.371745944,0.395436361,1.11369733,1.11103891
157.5,0.398880603,1.457611849,0.411292318,1.096861283,1.11430071
158,0.415743815,1.51742665,0.427148276,1.080025236,1.11756251
158.5,0.432607027,1.517693698,0.443004233,1.063189189,1.120824309
159,0.449470239,1.517960745,0.45886019,1.046353142,1.124086109
159.5,0.466333451,1.518227793,0.474716148,1.029517095,1.127347909
160,0.483196663,1.51849484,0.490572105,1.012681047,1.130609709
160.5,0.500059875,1.518761888,0.506428063,0.995845,1.133871509
161,0.516923087,1.519028935,0.52228402,0.979008953,1.137133308
161.5,0.529665509,1.519295983,0.538139978,0.962172906,1.140395108
162,0.522285268,1.51956303,0.553995935,0.945336859,1.143656908
162.5,0.514905027,1.519830078,0.569851893,0.928500812,1.146918708
163,0.507524786,1.520097125,0.58570785,0.911664765,1.150180508
163.5,0.500144545,1.520364173,0.601563808,0.917976152,1.153442308
164,0.492764304,1.52063122,0.617419765,0.939540382,1.155853445
